industry,quarter,mrsort_box_only,mrsort_rc,mrsort_rc_vrc_no4,mrsort_rc_vrc,note
전기전자,2023Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2023Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2024Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2024Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2024Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2025Q1,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2025Q2,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2025Q3,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2025Q4,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2026Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2026Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2022Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2022Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2022Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2022Q4,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2023Q1,CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2023Q2,CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2023Q3,CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2024Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2024Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2024Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2025Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2025Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2025Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2025Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2026Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
철강,2026Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
